,ID,ratio_rolling_sum_180_net_uplift_split_stg_item_cd_rolling_sum_180_baseline_split_stg_item_cd_last_year,stg_selling_price_val,rolling_mean_1126_relative_uplift_binary_negative_stg_item_cd_last_available,supplier_funding_perc,rolling_mean_720_relative_uplift_binary_negative_stg_item_category_cd_last_available,is_gondola,ratio_rolling_sum_60_net_uplift_split_stg_item_cd_rolling_sum_60_baseline_split_stg_item_cd_last_available,rolling_mean_360_relative_uplift_binary_negative_stg_item_cd_last_available,rolling_sum_180_net_uplift_split_stg_item_category_cd_last_available,rolling_sum_180_baseline_split_stg_item_cd_last_available,rolling_mean_360_relative_uplift_multiclass_mid_stg_item_category_cd_last_available,rolling_mean_180_relative_margin_with_supplier_binary_positive_stg_item_category_cd_last_year,ratio_rolling_sum_180_net_margin_split_stg_item_cd_rolling_sum_180_baseline_split_stg_item_cd_last_available,rolling_mean_540_relative_margin_binary_positive_stg_item_cd_last_available,rolling_sum_180_net_uplift_split_stg_item_category_cd_last_year,rolling_sum_90_net_uplift_split_stg_item_category_cd_last_available,rolling_sum_365_prm_net_amount_without_tax_val_if_promo_stg_item_cd_last_available,ratio_mean_30_stg_item_selling_price_val_stg_item_cost_price_val_last_available,rolling_sum_180_baseline_split_stg_item_cd_last_year,relative_margin_with_supplier_binary_positive
0,1,3.160737986,97.33333333,0.666666667,8.0,0.809624648,0,-0.013943823,0.722222222,3140505.092,1251603.807,0.792,0.666666667,0.265071987,0.666666667,392186.5072,4317483.516,77835.63478,1.487425349,0.666666667,0
1,2,,,0.666666667,20.0,0.755807672,0,,0.805839002,14400000.0,123879.4981,0.786407767,0.666666667,0.053909226,0.666666667,708233.9021,18653.3091,6550.478254,1.516007244,0.666666667,0
2,3,0.050940481,134.0,0.708333333,10.0,0.8832021,0,0.212323218,0.666666667,18200000.0,1829148.205,0.75974026,0.666666667,0.072616648,0.716666667,1951419.016,1808292.944,0.666666667,1.416068658,,0
3,4,-0.320610114,116.0,0.805555556,15.0,0.741765481,0,0.568599166,0.666666667,44834.86812,0.666666667,0.728941323,0.679875364,0.169533411,,7852.894196,125904.3479,6212417.996,1.266666667,40783.56551,1
4,5,-0.320831118,54.0,0.763888889,12.0,0.753799392,0,,0.666666667,108598.2558,0.666666667,0.726190476,0.666666667,0.152484581,0.82983683,461241.1923,1290185.989,1387779.875,1.239663945,,0
5,6,,17.33333333,0.895833333,16.47058824,0.834296724,0,1.028265461,,97766.8111,331203.9503,0.745934959,0.682216019,,1.0,478077.5989,47596.60768,1929596.339,1.338463785,699846.8803,1
6,7,,242.3333333,0.833333333,20.0,0.752216293,1,-0.344051636,1.0,3807659.819,27675.71949,0.763745112,,-0.147766489,0.666666667,17900000.0,183.8152851,0.666666667,1.532007328,1209501.374,0
7,8,0.666527972,24.0,0.666666667,7.151898734,0.952380952,0,-0.092228363,,21000000.0,172288.0956,0.742424242,0.666666667,0.197775389,1.0,,0.666666667,2960344.864,1.323354243,112781.2757,0
8,9,0.294190508,110.6666667,0.666666667,15.0,0.737931034,0,,,628709.1236,0.666666667,0.728494624,,-0.061916346,0.666666667,2287931.486,129677.5398,1124219.292,1.409055374,1032208.782,1
9,10,-0.198575254,67.0,0.807017544,15.0,0.828928539,0,-0.073465173,0.888888889,1679100.366,306123.0631,0.677902622,0.666666667,-1.948890909,0.666666667,5107100.309,-1051936.882,2989143.574,1.400993009,139040.1013,0
10,11,1.522154322,150.6666667,0.807017544,15.0,0.754292448,0,0.362452827,1.0,505569.164,0.666666667,0.756218905,0.666666667,0.098574734,0.848484848,6859324.565,2200120.849,2527315.513,1.324238858,104376.8602,0
11,12,1.255399973,365.6666667,1.0,10.0,0.753863135,0,1.292574807,0.727272727,205081.6406,596944.1284,0.733974657,0.666666667,0.263301695,,1266661.33,957980.1681,615159.2806,1.400756146,27829.59226,0
12,13,,40.66666667,0.703703704,10.0,0.745515227,1,,0.708333333,81824.07493,55945.41074,0.761904762,0.666666667,0.454286874,0.666666667,148327.2523,220806.1767,1434355.121,1.456697803,15154.3233,1
13,14,,67.33333333,0.727272727,5.239999771,0.830200212,1,,1.0,14000000.0,22526.66217,0.70082713,0.691358025,0.104202887,,,2193284.316,9890997.916,1.416045556,0.666666667,0
14,15,0.123853204,25.66666667,0.833333333,15.0,0.809116809,1,,0.791666667,-150580.4565,553460.0852,0.751322751,0.700623175,0.167188635,0.794871795,1848354.982,41034.32716,573691.1276,1.244139312,438835.1549,0
15,16,0.721096698,390.6666667,0.739130435,9.545454979,0.810397554,0,1.015140395,,1905569.098,155351.594,0.777777778,0.666666667,,0.666666667,627778.8662,-6134.813437,1462273.764,1.355153845,911599.8742,0
16,17,-0.146101285,330.6666667,0.722222222,15.0,0.885572139,0,-0.022935368,0.784313725,1407881.803,47935.13722,0.769230769,0.666666667,,,12800000.0,169987.1151,1829451.126,1.309841681,156142.091,0
17,18,1.076164661,40.66666667,0.975845411,9.550000191,0.809985888,0,,0.925925926,-27630.11741,20793.08931,0.734428149,0.69047619,-0.168545206,0.916666667,289426.1008,-10271.33844,516187.2574,1.624541245,179819.624,0
18,19,0.358935662,125.6666667,0.740740741,10.0,0.693650794,0,,1.0,21509.12527,6238.309285,0.695142379,0.666666667,-0.167597599,,7881110.596,12400000.0,16800000.0,1.317273099,178068.7075,1
19,20,-0.121596014,55.66666667,,15.0,0.790938511,0,-0.151460814,0.666666667,248929.5655,57315.07857,0.692307692,0.666666667,0.221848278,0.75,,-60846.63077,843613.9449,1.550596,18372.61133,0
20,21,,280.6666667,0.777777778,15.0,0.919354839,0,,0.666666667,2687667.091,323810.916,0.687788018,0.666666667,0.065118486,0.739130435,,208341.5698,700354.2576,1.285516719,170282.2557,0
21,22,0.341407404,397.3333333,0.857142857,10.0,0.871428571,0,,1.0,-63752.10371,524990.5265,0.666666667,0.666666667,0.181383998,,1175896.09,3474056.395,361614.2116,1.365727477,941.8056428,0
22,23,-0.050946651,77.33333333,1.0,10.0,0.794642857,0,0.776078285,,99736.07156,0.666666667,0.682363077,0.666666667,0.218144471,0.666666667,835794.9236,2743768.527,1858707.981,1.577807335,87902.65801,0
23,24,0.342237592,27.33333333,0.8,15.0,0.844444444,1,0.018863074,0.666666667,-61238.06194,1370584.334,0.719144259,0.666666667,0.185361219,0.6875,9196780.857,829411.839,3657619.664,1.293943954,0.666666667,0
24,25,,22.33333333,0.871794872,15.0,0.750611247,0,,0.844444444,75770.25776,821671.9915,0.744376278,0.666666667,,0.666666667,44026.92945,12300000.0,0.666666667,1.512948472,56059.21205,0
25,26,1.86574709,242.3333333,0.666666667,15.0,0.77714361,0,1.176184136,1.0,-171439.2109,62114.64841,0.730769231,0.666666667,0.117595346,1.0,1154979.417,3959187.846,1206959.248,1.560087887,16924.49373,0
26,27,,84.0,0.745098039,10.0,0.79081316,0,,0.747777778,1409394.044,640038.2941,0.745009118,0.666666667,0.022889565,0.666666667,2677369.331,3268575.821,1160313.543,1.441787667,0.666666667,0
27,28,1.34391477,100.6666667,0.722222222,10.0,0.753668763,0,-0.056800502,,1826333.394,0.666666667,0.736668649,0.666666667,-0.142283175,1.0,,-141508.3109,386046.5515,1.374626304,172134.0473,0
28,29,0.783581776,84.0,0.666666667,10.0,0.793053473,0,-0.232451689,1.0,920313.5834,126217.8716,0.745264409,0.666666667,-0.038632504,0.692307692,1228429.602,-190792.8639,5157970.645,1.233766257,528138.6708,1
29,30,0.425493915,400.6666667,0.962962963,10.0,0.751753156,0,,0.666666667,915294.7824,104464.6203,0.696969697,0.666666667,,,5696038.252,-631492.9092,11231.70096,1.250000026,735991.2509,0
30,31,1.413224512,90.66666667,0.790123457,15.0,0.758241758,0,,0.666666667,261751.5709,526835.4138,0.704225352,0.666666667,,1.0,-86368.69116,75944.9716,1599403.83,1.486232834,482588.2136,0
31,32,1.192160521,39.66666667,0.666666667,15.0,0.932287582,0,,0.666666667,1448416.289,428298.0398,0.760892199,0.677939198,3.305699038,0.732701919,686131.8201,1031015.284,1146131.87,1.266666667,705641.7777,0
32,33,0.611955835,24.0,0.901960784,10.0,0.800865801,0,0.307964882,0.857142857,43134.13514,11630.06556,0.762295082,0.667146259,,,-195772.0509,310153.8983,137808.0116,1.217948688,331646.0958,0
